"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",1.72627133105652e-256,3.87863053305337,0.361,0.061,2.96746041808616e-252,"0","Ly6i"
"2",9.06235287578758e-144,2.67687827161431,0.555,0.282,1.55781845934789e-139,"0","Cxcl10"
"3",3.72375611683502e-136,2.54054726583161,0.252,0.054,6.40113676483941e-132,"0","Gm9733"
"4",0,2.53800404343223,0.842,0.346,0,"0","Ms4a4c"
"5",0,2.43819570002312,0.724,0.283,0,"0","Il1b"
"6",0,7.65309105340054,0.4,0.024,0,"1","Cd209f"
"7",0,7.41827143058261,0.325,0.014,0,"1","Cd209g"
"8",0,6.88966266313513,0.253,0.006,0,"1","C6"
"9",0,6.0472106295896,0.537,0.017,0,"1","Lyve1"
"10",0,5.83483115917345,0.401,0.023,0,"1","Cd163"
"11",1.79212797440441e-216,6.72540526625733,0.292,0.037,3.08066798800118e-212,"2","Cxcl3"
"12",0,5.55069781323088,0.525,0.078,0,"2","Mmp12"
"13",0,4.56274158069655,0.792,0.153,0,"2","Arg1"
"14",3.92353080245333e-259,4.43994822048447,0.315,0.033,6.74454944941728e-255,"2","Rhov"
"15",0,4.36194118974142,0.518,0.064,0,"2","Egln3"
"16",2.03010091790643e-165,2.7632159609561,0.304,0.053,3.48974347788115e-161,"3","Cd300e"
"17",2.00354331349787e-233,2.62125487329151,0.52,0.122,3.44409095590284e-229,"3","Vcam1"
"18",7.06137137820612e-274,2.41402470517719,0.628,0.155,1.21384973991363e-269,"3","Nr1h3"
"19",1.29007343987401e-117,2.35702571774994,0.276,0.06,2.21763624314342e-113,"3","Gbp2b"
"20",1.45909650514514e-163,2.1666522360593,0.44,0.112,2.5081868923445e-159,"3","Pparg"
"21",0,6.62505737366731,0.947,0.013,0,"4","Limch1"
"22",0,6.38465802240636,0.301,0.001,0,"4","Kank4"
"23",0,6.26635415732625,0.995,0.032,0,"4","Gxylt2"
"24",0,6.02366439357545,0.71,0.008,0,"4","Efna5"
"25",0,6.01576422186685,0.839,0.01,0,"4","Cntfr"
"26",0,4.54527277918774,0.506,0.029,0,"5","1500009L16Rik"
"27",0,4.10277396926147,0.408,0.026,0,"5","Hist1h1b"
"28",0,4.0466955989064,0.347,0.023,0,"5","1700097N02Rik"
"29",0,4.00660684527746,0.35,0.024,0,"5","Hist1h2ap"
"30",0,3.66018369132935,0.348,0.023,0,"5","Gldc"
"31",1.94218183481968e-189,4.19294807383668,0.33,0.035,3.33861057405503e-185,"6","Sdcbp2"
"32",0,4.17849366356949,0.856,0.094,0,"6","Cxcr6"
"33",4.61898999969318e-263,4.16766827557385,0.408,0.037,7.94004380947258e-259,"6","Wdr95"
"34",0,4.02125687651754,0.828,0.116,0,"6","Lag3"
"35",0,3.87122872872516,0.598,0.072,0,"6","BC021614"
"36",7.63445900684174e-110,2.88628491992511,0.357,0.066,1.3123635032761e-105,"7","Cd300e"
"37",1.46322839101855e-149,2.79584268605721,0.478,0.094,2.51528960416089e-145,"7","Kif23"
"38",8.3306138570117e-172,2.61341169929589,0.607,0.136,1.43203252202031e-167,"7","Ccnb1"
"39",6.75724483862227e-97,2.48830979940923,0.372,0.082,1.16157038775917e-92,"7","Shcbp1"
"40",9.17766218960349e-100,2.48450034610787,0.357,0.073,1.57764013039284e-95,"7","Ndc80"
"41",0,7.17995707942943,0.331,0.004,0,"8","Sept3"
"42",0,5.90865461067769,0.42,0.025,0,"8","Cd209a"
"43",0,5.20785861022277,0.37,0.014,0,"8","H2-Ob"
"44",4.39835099317183e-166,5.02341929179413,0.254,0.02,7.56076535726237e-162,"8","Xcr1"
"45",2.69591262262654e-221,4.90076194918555,0.261,0.014,4.63427379829502e-217,"8","Ffar2"
"46",0,6.25884166506033,0.383,0.008,0,"9","Serpinb10"
"47",0,5.62705977846782,0.885,0.062,0,"9","Hp"
"48",2.67099547657907e-165,4.83935573046978,0.316,0.018,4.59144122423942e-161,"9","Plcb1"
"49",3.33465550376561e-172,4.57062187114288,0.684,0.1,5.73227281097308e-168,"9","Chil3"
"50",5.82399366886237e-101,4.48695970493274,0.268,0.022,1.00114451167744e-96,"9","Dmkn"
"51",2.63402617369026e-121,5.77453061290443,0.335,0.025,4.52789099257356e-117,"10","Pde10a"
"52",1.48864221042467e-180,5.57394058871128,0.473,0.034,2.55897595972001e-176,"10","Tinagl1"
"53",5.5001952917477e-106,5.18360817337789,0.503,0.07,9.4548357065143e-102,"10","Car6"
"54",2.48403071764221e-78,4.68404891886451,0.407,0.059,4.27004880362696e-74,"10","Car9"
"55",1.61743117737566e-158,4.45451749315867,0.707,0.098,2.78036419390875e-154,"10","Gsta1"
"56",1.59772908019093e-93,3.71946040127402,0.331,0.03,2.74649628884822e-89,"11","Izumo1r"
"57",4.66651701676307e-94,3.06007234954628,0.675,0.131,8.02174275181573e-90,"11","Ikzf2"
"58",4.50323701510247e-65,2.73596180052024,0.438,0.073,7.74106442896114e-61,"11","Cd5"
"59",4.09233669132347e-71,2.72741862318544,0.581,0.119,7.03472677238505e-67,"11","Tnfrsf4"
"60",5.63925900812607e-81,2.70403207278344,0.6,0.111,9.69388623496872e-77,"11","Icos"
"61",0,9.01103788845283,0.312,0.003,0,"12","Klra4"
"62",0,8.95389525349963,0.586,0.003,0,"12","Ncr1"
"63",0,8.16828263965429,0.573,0.005,0,"12","Klrb1c"
"64",0,8.05576724858238,0.471,0.007,0,"12","Klra7"
"65",2.958266414242e-201,7.80053979390857,0.548,0.04,5.085259966082e-197,"12","Gzma"
"66",0,9.19869536294573,0.283,0.002,0,"13","Tmem150c"
"67",0,9.15946677275503,0.848,0.021,0,"13","Fscn1"
"68",0,8.97005606048043,0.628,0.007,0,"13","Gm13546"
"69",0,8.59289827185512,0.766,0.013,0,"13","Ccl22"
"70",0,8.21640332446296,0.566,0.006,0,"13","Nudt17"
"71",0,12.0194173084698,0.649,0.002,0,"14","Meg3"
"72",0,11.9228040951219,0.365,0,0,"14","C1qtnf2"
"73",0,11.5312364705421,0.365,0,0,"14","Gpc3"
"74",0,11.4900732182303,0.338,0.001,0,"14","Ogn"
"75",0,11.4662884140816,0.338,0,0,"14","Mfap4"
"76",0,13.1729195106685,0.846,0.002,0,"15","Klk1"
